ID_Paciente,Nome_Completo,Data_Nascimento,Género,Telefone,Email,Data_Registo
1,Kimberly Martin,1968-11-09,M,,desconhecido,2016-09-24
2,Stephanie Hunt,2010-11-06,M,,desconhecido,2020-03-17
3,Vincent Pearson,1983-06-13,M,001-965-859-2696x623,zmorgan@example.org,2023-07-04
4,Angela Macias,1975-04-15,M,,owang@example.net,2016-03-19
5,Pam Perez,1954-11-27,M,,alipaula@example.com,2017-08-11
6,Diana Gates,1990-11-17,M,263-762-0286,desconhecido,2016-05-22
7,Jeffrey Harris MD,1997-06-26,M,888.776.5506,desconhecido,2023-02-16
8,Christine Richards,1978-09-29,M,+1-653-476-4862,desconhecido,2013-01-06
9,Andrew Vaughn,1969-06-23,M,,sean86@example.org,2024-05-27
10,Mrs. Tina Haney MD,2005-10-28,F,,desconhecido,2022-04-10
11,Garrett Walker,1998-11-09,M,623.795.2511,desconhecido,2019-12-23
12,Andrew Ford,1955-04-27,M,+1-206-842-9519x62919,jjohnson@example.net,2024-10-20
13,Shaun Spears,1975-12-03,F,696-673-6061,wileyisaiah@example.org,2024-03-17
14,Brianna Carter,1968-04-23,M,+1-904-336-2340x13844,desconhecido,2014-06-09
15,Mary Patterson,1988-04-07,M,391-517-4589x052,camerongray@example.net,2024-01-22
16,Alexandra Kaiser,1951-10-06,F,,wyoung@example.net,2023-07-03
17,Matthew Martinez,2004-07-10,F,9892177723,jcarr@example.com,2019-10-08
18,Kaitlin Rosario,1996-07-19,M,374-938-7391x9885,desconhecido,2021-07-13
19,Bobby Mccormick,1994-07-02,F,,desconhecido,2024-04-30
20,Tina Berry,1971-04-14,F,,desconhecido,2018-05-13
21,Stephen Lindsey,2007-07-02,M,+1-259-734-1904x99957,lisaclark@example.net,2017-02-16
22,Courtney Wright,1972-02-15,M,278-333-8909x85794,desconhecido,2017-01-04
23,Stephanie Wilcox,1950-05-16,F,+1-943-881-4105x945,nicolerussell@example.org,2021-05-14
24,Rachel Werner,1950-06-07,M,,desconhecido,2012-04-19
25,Cheryl Smith,2006-04-28,F,,yjones@example.com,2019-01-24
26,Frank Tucker,1983-04-17,F,,calderonmelanie@example.net,2014-11-27
27,James Cole,1972-12-29,F,001-540-469-4524x2051,yjones@example.org,2010-04-02
28,Mia Valdez,2009-07-08,M,001-574-689-2561,desconhecido,2010-08-08
29,Joan Stanley,1976-09-12,M,,jacksonalex@example.net,2013-06-01
30,Pamela Bradley,2009-06-29,M,729-497-5157x0788,jjones@example.com,2015-06-01
31,Grace Orr,1973-03-31,F,(969)478-9977,maryandrews@example.net,2020-11-01
32,Diana Allen,1974-07-17,M,732-861-7204x425,qcarter@example.org,2015-10-03
33,Sarah Kennedy,1982-03-28,M,,desconhecido,2018-09-25
34,Dr. Teresa Newman,1988-06-17,F,,marie89@example.org,2013-11-05
35,John Johnson,1991-11-17,M,,courtneywhite@example.net,2023-08-11
36,Todd Peterson,1952-04-09,M,,desconhecido,2013-03-26
37,Shannon Rogers,1995-01-23,M,,desconhecido,2011-03-13
38,Ryan Hall,1954-09-15,M,810-658-8818,robertkennedy@example.net,2010-03-03
39,Gerald Steele,1983-07-15,M,,beasleylaura@example.net,2023-08-09
40,Charles Sandoval,1983-05-14,F,001-905-273-8883,kristin03@example.com,2014-06-15
41,Nancy Roberts,1983-06-07,F,,kenneth36@example.org,2014-04-25
42,Jamie Clark,1976-07-02,M,380-920-0444x51918,clarkeamanda@example.com,2021-12-25
43,John Nguyen,1972-12-20,M,858.711.8229x578,desconhecido,2023-09-17
44,Nicholas Williams,1977-10-12,M,901-946-2345x8673,jessicashaffer@example.org,2022-03-15
45,Zachary Schneider,1959-12-04,M,,james80@example.org,2013-04-27
46,Nathaniel Edwards,1977-02-03,M,,desconhecido,2024-07-25
47,Teresa Little,1964-02-17,F,,mthomas@example.net,2010-10-21
48,Kelly Yates,2007-05-28,M,001-849-899-1877x11925,desconhecido,2021-04-15
49,Robert Campbell,1959-07-25,M,,stephaniemarshall@example.com,2023-01-21
50,Brent Johnson,1990-03-06,M,+1-785-667-0463x16872,desconhecido,2015-11-29
51,Joshua Smith,2004-10-09,M,,desconhecido,2018-05-07
52,Elizabeth Jefferson,1975-10-06,F,689-809-7485x3327,desconhecido,2020-08-07
53,Jillian Anderson,1963-11-20,M,608-259-1595x304,desconhecido,2016-10-13
54,Daniel Brown,2000-01-28,M,,desconhecido,2014-02-28
55,Miss Molly Davies,1958-07-12,F,001-453-980-2258x75874,bhernandez@example.net,2011-04-24
56,Matthew Mcconnell,1960-02-28,M,841-628-6659x21927,desconhecido,2021-09-29
57,Jeffrey Gonzalez,1962-04-27,F,,desconhecido,2024-07-27
58,Albert Chaney,1970-09-22,F,,desconhecido,2019-12-04
59,Justin Bowman,2001-12-28,M,498.746.9669x54150,rodneydelgado@example.net,2013-02-11
60,Rachel Perry,1986-08-31,M,,michaelrichmond@example.org,2013-08-15
61,Michael Harper,1974-03-11,F,,marcus04@example.net,2013-02-08
62,Mary Choi DDS,1961-11-22,M,,ycarson@example.org,2015-02-28
63,Anthony Savage,1988-01-04,F,,desconhecido,2011-03-30
64,Ms. Melissa Robles,2010-12-23,M,(339)255-7049,mark91@example.org,2011-04-03
65,Allison Quinn,1950-02-03,F,993-396-4482x95702,desconhecido,2018-11-22
66,Amanda Lopez,1968-02-02,M,001-921-403-4555x21023,desconhecido,2014-08-02
67,Dawn Reynolds,1950-02-16,M,,ericmoore@example.net,2011-04-05
68,Sandra Clark,2006-03-05,F,228.558.5774,osuarez@example.net,2021-02-20
69,Andrea Hernandez,1970-05-07,M,,adamsangelica@example.net,2020-01-26
70,Michael Lowe,2005-02-04,F,,waynewest@example.com,2021-03-03
71,Rachel Williams,1996-04-13,F,,desconhecido,2013-12-12
72,Gordon White,1965-04-21,M,,kendra04@example.com,2020-04-12
73,Kristine Jennings,1957-02-06,F,+1-848-244-3262x8239,bethany25@example.com,2011-12-25
74,Susan Roman,1951-05-13,F,,tgreene@example.org,2016-01-28
75,Kathryn Bender,1970-01-02,F,,amandanichols@example.com,2021-03-11
76,Brett Wright,1968-11-27,F,827.647.3058x107,kkelly@example.com,2012-08-09
77,Madison Sherman,1986-07-15,M,892-401-1194x0262,desconhecido,2010-09-06
78,Nicholas Bailey,2006-06-14,F,788.793.2752,duffyedward@example.com,2018-03-13
79,Bonnie Powell,1961-12-05,F,,desconhecido,2024-09-09
